=== FRAUDULENT ===
>>> python generate.py --input data/raw/Fake Postings.csv --source-type scam --output-dir D:/ai-scam-detection-data/generated --text-cols title,description,requirements,benefits --label-col fraudulent --sample 600 --seed 101
[1/600] rendered images/Fake Postings_9521_d378ab328515.jpg (sms, light, fraudulent)
[2/600] rendered images/Fake Postings_3190_37dd23a68270.png (email, light, fraudulent)
[3/600] rendered images/Fake Postings_8834_d18f614cb368.jpg (telegram, light, fraudulent)
[4/600] rendered images/Fake Postings_5876_8d6b3aadc26f.png (email, dark, fraudulent)
[5/600] rendered images/Fake Postings_7653_780bde018fe2.jpg (telegram, dark, fraudulent)
[6/600] rendered images/Fake Postings_794_ac2e8ca68553.png (instagram, light, fraudulent)
[7/600] rendered images/Fake Postings_8249_4991cf524484.png (whatsapp, dark, fraudulent)
[8/600] rendered images/Fake Postings_3514_b6988a3ebc7f.png (email, dark, fraudulent)
[9/600] rendered images/Fake Postings_9863_fc8842accfb5.png (email, dark, fraudulent)
[10/600] rendered images/Fake Postings_3632_9d7d8409d21f.jpg (telegram, dark, fraudulent)
[11/600] rendered images/Fake Postings_4727_3deaa1c8ff90.png (instagram, dark, fraudulent)
[12/600] rendered images/Fake Postings_7953_48ba27ea1ac9.png (email, dark, fraudulent)
[13/600] rendered images/Fake Postings_3479_41953f89b9f2.png (email, light, fraudulent)
[14/600] rendered images/Fake Postings_5390_eabe312508e7.jpg (sms, light, fraudulent)
[15/600] rendered images/Fake Postings_7175_ad3f71ed89d4.png (whatsapp, light, fraudulent)
[16/600] rendered images/Fake Postings_1152_a2423f948609.jpg (telegram, light, fraudulent)
[17/600] rendered images/Fake Postings_4181_42cbd7950aea.jpg (telegram, dark, fraudulent)
[18/600] rendered images/Fake Postings_3166_d7f2ed44bf21.png (instagram, dark, fraudulent)
[19/600] rendered images/Fake Postings_2638_fcf349356bf0.png (sms, dark, fraudulent)
[20/600] rendered images/Fake Postings_1455_ec4bca8d2d27.png (whatsapp, dark, fraudulent)
